time1	time2	time3	time4	student
    3.624076     4.340106     6.110888     7.357378  2
    4.737397     5.177818     5.809302     7.582282  2
    0.583681     3.753875     5.253246     3.884596  2
    1.412828     0.542208     0.689015    -0.271146  1
    2.476810     5.067010     6.310767     7.339957  2
    1.133431     3.194971     4.382889     7.076440  2
    2.313196     4.273469     5.513407     7.593098  2
    2.979910     3.117552     4.964537     2.782597  2
   -1.133422    -0.360778     0.161703    -0.060070  1
    1.545993     2.750867     5.338827     3.579946  2
    0.315613     2.339964     3.386371     3.901769  2
    1.216798     2.442514     1.611790     0.832298  1
    5.962636     5.837190     7.596676    10.725804  2
    1.628608     3.825371     4.184332     5.108423  2
    0.648028     0.572107     2.378806     3.030788  1
    2.506355     3.759969     5.361951     5.191923  2
    5.302783     4.514092     6.880455     7.934686  2
    1.871591     2.839703     4.739152     6.301069  2
    1.962785     3.558428     5.462427     7.758226  2
    2.351067     1.417316     1.522263     1.594274  1
    2.181915     2.975086     3.947187     4.892068  2
    4.477118     3.568802     6.117165     5.325804  2
    3.477996     5.730051     8.212716     9.521162  2
    2.167879     2.608929     4.767726     5.379119  2
    2.874472     4.182611     5.657608     6.693446  2
    5.919489     5.795772     7.330284    10.244901  2
    1.852626     1.897483     0.777406     2.373663  1
    1.455473     1.769564     4.401748     5.907501  2
    3.584058     4.327168     7.445990     8.699336  2
    2.862733     1.227138     1.650845     0.796917  1
    3.781300     3.514362     5.230915     3.353211  2
    1.853539     4.510380     3.896180     6.562824  2
    3.398360     4.052444     5.754711     7.129927  2
    3.946317     4.871846     6.388474     7.105802  2
    2.931492     3.236740     4.952870     4.550925  2
    3.308073     2.144474     3.632414     3.049395  2
    3.224277     4.358932     5.674842     6.468751  2
    3.624854     2.687638     4.210488     3.919154  2
    3.359277     5.679240     6.753853     8.183324  2
    2.216661     2.520798     3.947097     4.450988  1
    2.778573     3.800576     6.243301     9.274940  2
    4.006970     6.214982     7.502207     9.399307  2
    3.508202     6.098681     5.783505     9.504243  2
    4.039605     4.767655     3.573633     4.525552  2
   -0.384770    -1.106000     0.029131    -0.088532  1
    2.533710     5.339594     5.148886     6.669829  2
    2.226477     2.329507     1.642252     3.733490  2
    0.111538     1.472531     0.890405     2.700495  1
    1.136055    -0.150794    -0.576929    -0.713659  1
    1.446300     2.397259     3.211784     2.184892  2
    2.781167     1.616808     3.672234     4.663139  2
    1.523712     1.463361     2.016716     3.863547  2
    4.513704     5.675665     7.553903     7.721830  2
    0.029566     0.801640     1.626419     1.836499  1
    1.658593     3.282249     3.164664     4.856892  2
    2.500344     2.176130     4.233206     3.490889  2
    0.999116     2.794126     4.421191     4.876104  1
    3.105575     4.388941     3.530944     4.707038  2
    3.704497     4.801613     4.821466     7.258068  2
    0.866349     0.870275     2.478062     2.387962  1
    2.847753     3.573911     4.823819     5.836893  2
    2.517305     2.290061     3.798964     5.739124  2
   -1.056863     1.516326     0.727272     2.295488  1
    2.412144     4.995767     5.202647     6.149119  2
    1.327948     1.775025     4.027537     5.547512  2
    3.010234     2.292950     4.111130     4.269800  2
    3.570246     5.186911     6.760086     7.949459  2
    2.263937     5.685104     6.712282     8.347454  2
    0.604923     1.420035     1.575774     3.578800  1
    1.978374     1.255950     2.037705     2.506519  1
    3.375289     4.763447     6.418350     5.430955  2
    1.297907     2.379446     2.575158     4.412980  1
    1.591726     1.555322     3.307422     2.600319  2
    3.873610     5.906601     8.349934    10.585757  2
    1.564041     3.099988     4.385128     5.758136  2
    3.462232     5.296756     8.468057     8.821239  2
    2.970072     3.893733     4.925119     4.127911  2
    4.615076     4.228964     6.512007     4.584858  2
   -0.721073    -1.091681     0.909697    -0.597263  1
    4.743818     4.556553     5.460786     5.649484  2
    0.504734     2.500822     2.289995     3.751484  1
    3.508979     4.773995     5.524618     8.166435  2
    2.198789     1.253347     2.314699     0.819747  1
    3.990852     4.372159     5.955332     6.296952  2
    2.576179     1.709355     1.826517     4.013319  1
    2.091518     3.825147     1.552969     2.276963  1
    4.453873     6.059054     7.297155    10.555367  2
    4.812156     3.831042     4.799043     5.570733  2
    3.596062     5.725010     7.689876     8.180851  2
    4.790076     4.093458     3.573588     5.885287  2
    1.811187     3.984409     5.283043     5.577231  2
    3.564844     4.152637     6.024333     8.070408  2
   -1.323895    -0.699880     1.421204     4.438661  1
    4.899460     4.697643     5.172901     4.526695  2
    1.925631     2.523195     2.308168     3.324751  2
    1.839886     3.226093     2.087442     2.352348  1
    2.456116     4.902078     5.357471     6.379904  2
    2.055601     3.905777     4.109428     5.882310  1
    1.569798    -0.454280     2.028796     1.709905  1
    4.229127     4.405791     5.992704     6.462549  2
   -0.100111     1.290069     2.041686     2.283867  1
    4.278050     4.957263     7.563098     8.891101  2
    4.454166     5.352612     5.766238     7.736530  2
    0.029608     1.794757     2.853426     3.991035  1
    4.021703     4.130430     4.132618     5.742693  2
    3.870315     3.505935     4.152936     4.404279  2
    2.353974     3.574287     4.592228     7.265869  2
    3.803918     4.420438     5.825374     6.135368  2
    3.159061     4.592791     5.810746     8.571526  2
    2.585568     4.256679     4.403756     7.385388  2
    0.916782     1.543361     2.615396     3.506208  1
    3.401640     3.440312     6.183860     6.464711  2
    3.148338     2.521561     2.552783     2.777020  2
   -0.900931    -1.387997    -1.875239    -2.775337  1
    1.712694     2.399162     2.288887     2.334032  2
    0.988512     2.562958     5.563035     6.357655  2
    4.937454     4.124377     4.949147     5.439391  2
   -0.556527     1.926335     2.239000     3.421353  1
    3.789572     3.918004     6.160125     6.666444  2
    3.849139     2.835580     5.733860     6.392248  2
    1.531284     2.514588     1.422018     1.113989  1
    3.167306     4.328412     4.994351     6.724375  2
   -2.398643    -1.566169     1.053961     1.483854  1
    2.414403     6.025146     6.503884     6.328188  2
    1.014186     0.019949     0.599274     0.362749  1
    3.009588     4.831691     7.374134     8.921910  2
    1.699362     2.035856     0.463962    -0.552056  1
    3.684455     5.411323     5.024263     7.874044  2
    1.070525     3.763523     1.461916     1.359915  2
    5.061547     4.318265     5.212924     4.535560  2
    2.221375     2.709708     2.927360     2.241907  2
    1.767353     2.236499     5.036550     6.299556  1
    1.636223     2.674964     3.474083     4.650372  1
    3.061654     4.844150     5.431725     8.751579  2
    1.638519    -0.089925     2.883006     2.762163  2
    3.025190     3.514891     4.083040     3.531650  2
    2.884377     4.297569     5.165364     6.072830  2
    2.473433     3.148617     3.934091     5.275234  2
    3.364528     5.264119     4.943354     7.022073  2
    5.368423     6.679297     6.952928     9.803718  2
    2.413325     3.312132     3.018947     5.257765  2
    2.998544     4.250386     5.138304     4.686290  2
    3.713485     4.105597     5.080322     6.873844  2
    3.332173     4.122649     5.774601     6.229004  2
    2.941314     4.798958     5.473225     9.290402  2
    2.256300     3.937852     3.572772     5.831132  2
    1.511847     2.626104     1.890122     1.045657  1
    2.372856     3.060317     3.860831     6.027280  2
    0.554607     2.298122     3.624786     5.658485  2
   -0.260800     1.696604     0.117544     2.209599  1
    0.413235     1.816254     2.190403     3.807003  2
    0.734163     3.081952     3.269473     4.586601  2
    4.908662     6.112520     9.496454    11.017228  2
    0.786448     0.583295     0.499587     2.108599  1
    0.898963     1.668620     4.153352     4.600969  2
    3.614325     5.450780     3.983638     5.792370  2
    2.995556     3.762344     4.348608     5.729081  2
    4.638274     6.708342     7.775542     9.327932  2
    3.540652     4.492118     5.049510     5.898177  2
    1.556638     3.527149     4.737978     5.899794  2
    3.073609     2.620952     3.799075     4.090633  2
    2.816462     4.803579     4.637266     6.750145  2
    3.650863     3.533362     4.456587     6.912335  2
    1.227551     3.747054     4.925264     4.570740  2
    1.061949     2.190547     3.071905     4.101511  2
    1.354883     0.829338     3.264530     5.102022  2
    4.106223     3.652941     6.687816     8.495956  2
    3.371392     3.352910     3.249251     4.173742  1
    3.295175     4.858388     5.709601     6.148557  2
    1.750474     3.235730     6.249249     7.866375  2
    3.772212     4.667576     7.803222     9.137308  2
    1.615036     1.986608     4.900054     5.305392  2
    3.335446     4.103877     2.855572     3.170238  2
    3.192696     5.390094     9.270494    10.507467  2
    3.155454     3.110735     5.438112     3.336357  2
    4.198483     5.126163     5.558022     6.474101  2
    4.956741     6.422533     7.819980    10.100259  2
    5.270775     5.316031     6.052519     6.704137  2
    2.199020     5.672118     6.141596     7.491153  2
    2.764492     4.279604     4.955619     6.203526  2
    3.616312     2.991484     3.914136     5.794441  2
    1.112600     1.671892     2.206973     4.429966  2
    5.806221     6.630758     7.935342     8.699904  2
    3.667900     4.855992     7.444006     6.190948  2
    2.736377     3.101413     5.109076     7.354225  2
    2.463977     3.349746     4.444705     5.693976  2
    2.662879     3.018562     1.427505     4.639447  2
    1.274219     2.554749     2.882642     2.709336  1
    4.392848     5.008075     5.349085     6.396040  2
    4.363379     4.782674     4.584153     4.681109  2
    2.528952     1.843385     3.812909     5.962726  2
    3.280232     2.636308     4.039933     4.488665  2
    0.876277     3.385358     5.633996     5.796042  2
    3.126956     2.835045     3.512605     3.835519  2
    1.734925     1.001043     1.657464     1.353519  1
    3.449625     3.369290     6.068314     5.236335  2
    1.456216     3.503238     3.527180     5.006698  2
    2.846877     4.365326     6.040876     8.145696  2
    2.601176     3.554776     4.749587     7.052084  2
    1.476775     2.888355     2.979952     4.584011  2
   -0.410055     0.431674     0.279936     1.732013  1
    4.830452     4.648849     5.442583     5.762301  2
    1.355510     0.448927    -0.374144    -0.117526  1
    1.663755     3.472302     2.982913     3.340851  2
    2.315565     2.108707     2.929143     5.900005  2
    5.527070     5.896901     7.734345     6.848417  2
    3.812961     3.429119     5.730694     5.447937  2
    1.741911     4.192367     5.480554     8.111552  2
    3.110905     2.988658     4.659711     3.263670  2
    1.718049     3.240431     4.526217     2.648478  2
    1.237675     2.314433     2.340526     3.571555  2
    3.409820     5.520590     6.181384     8.798910  2
    3.558151     4.125776     4.545624     4.793078  2
    3.322879     4.594497     4.661604     5.096418  2
    3.175073     5.023186     6.016285     7.435019  2
    4.281175     3.401125     3.039708     5.899643  2
    3.571918     3.810184     4.120371     5.528257  2
    2.014570     2.450130     2.364400     4.058865  2
    3.298032     5.211474     5.239497     7.222076  2
    3.855508     2.888210     3.715709     3.582670  2
    3.971468     3.360337     4.357068     3.197016  2
    3.832748     5.108877     5.620408     7.467807  2
    0.586951     0.705054     0.456154     3.040912  1
    1.783620     1.628258     1.527108     0.720690  1
    2.009546     3.840035     5.110677     5.391557  2
    3.295759     3.156043     5.195668     5.364540  2
    1.398958     3.983200     5.234266     4.824011  2
    4.414609     7.078536     7.862105     9.594337  2
    1.630378     3.109402     4.235448     5.330433  1
    2.990267     4.887553     5.938667     8.636769  2
    3.137744     4.057261     8.412000     9.982786  2
    3.164524     3.652612     4.688955     6.347903  1
   -0.558260     0.383333     2.140293     4.257536  1
    3.106916     3.813663     2.336202     3.068835  2
    0.811484     1.745140     1.744578     1.959393  1
    1.106434     4.136129     6.057783     5.847442  2
    1.092223     1.530970     2.303725     3.266663  1
    2.436325     3.252553     4.463982     6.396908  2
    2.997827     2.937600     4.461579     6.324621  2
    2.091335     4.970934     5.189080     7.585100  2
    3.071931     0.656155     2.312474     2.781881  2
    1.066427     2.646953     1.068758     3.096128  2
    2.366801     1.322926     2.449346     3.224810  2
    3.345952     4.700544     6.527986     6.868475  2
    2.540623     2.687017     5.183654     7.554099  2
    0.908696     1.492720     1.570510     1.627943  1
    4.103988     4.761683     6.671462     7.974172  2
    4.063386     4.600614     5.997646     6.072219  2
    3.568882     3.896581     6.799311     8.596158  2
    0.556655     3.409920     3.491734     4.526808  2
    3.903565     4.698530     4.824121     7.444016  2
    3.916117     5.788845     5.162520     7.215961  2
    2.901785     4.245448     5.866582     6.360051  2
    3.296362     3.825222     5.794640     7.017868  2
    4.720967     4.653327     5.509130     6.997640  2
    3.811528     6.730734     7.201381     7.776851  2
    1.074676     2.900022     3.699343     5.978704  2
    6.357574     6.365885     7.858679    10.213476  2
    4.362603     6.875252     7.607664     8.337500  2
    3.252337     4.403967     5.553288     4.040814  2
    2.692017     2.711229     4.077458     3.167939  1
    1.250364     3.006323     1.916073     3.136136  1
    2.514985     2.211151     4.009445     5.336324  2
    3.069934     3.273808     2.585822     5.015315  2
    3.635872     4.325201     4.714523     5.116550  2
    3.467908     3.473923     4.580684     8.276773  2
    1.170551     1.124935     1.531350     2.879270  1
    2.728804     2.523233     4.386971     4.010342  2
    0.835254     1.909990     2.744564     4.406398  2
    2.346898     3.289573     4.623926     6.566786  1
    3.387059     5.290355     5.577397     6.079737  2
    3.879128     2.579469     4.385449     4.840213  1
    2.180880     3.788967     3.977121     4.235366  1
    4.713052     7.144597     6.552276     7.518053  2
    3.973415     2.864290     3.547623     4.332706  2
    2.574247     1.891899     1.887084     0.521766  1
    2.234752     2.259720     4.159593     4.145693  2
    3.619107     6.080112     6.248013     7.785306  2
    5.305246     4.478334     6.585592     9.092292  2
    3.281654     2.517287     3.308903     5.432378  2
    2.468995     5.976067     5.991669     9.808282  2
    1.528472     4.045039     6.307913     8.280308  2
    1.360767     2.297586     2.296308     2.901345  2
    0.994824     2.457171     5.858911     7.288621  2
    1.126761     1.953775     3.622297     2.604455  1
    1.806072     2.060928     1.794139     3.020738  1
    3.502662     5.186087     6.034627     5.038266  2
    1.223774     2.651828     2.525181     5.345372  2
    3.579712     5.354036     6.454071     8.873510  2
    3.493844     5.816604     6.156381     6.753924  2
    2.303954     2.799907     2.991065     4.210507  2
    5.024573     7.276751     6.621101    10.735414  2
    2.824309     3.161422     3.458755     5.169281  1
    1.622436     2.726853     1.610622     2.230856  1
    2.218322     4.034272     4.520040     6.076267  2
    4.573162     3.231594     3.122098     4.922441  2
    2.615691     1.585067     1.395223     1.917812  1
    1.880818     3.045430     4.732209     5.477366  2
    2.998617     4.572113     5.022599     5.517189  2
    2.605313     4.380761     6.905285     8.035721  2
    1.396963     1.307358     4.452435     5.802305  1
    3.254407     3.455505     5.660216     6.681496  2
    2.476564     3.298321     3.796902     5.594772  2
    0.595082     0.828181     0.483023     0.987611  1
    1.926309     2.730541     3.656988     6.056214  2
    3.041449     4.102339     5.784206     6.732698  2
    2.657725     4.647792     4.741845     8.232377  2
    4.786053     3.463207     5.832106     6.582814  2
    4.471846     2.797061     6.042784     6.731713  2
    1.948102     3.676474     7.235284     8.105533  2
    0.444365    -0.183945     0.632269     1.183136  1
    1.419243     2.796370     2.450175     3.316153  1
    3.979673     4.059909     7.562787     7.510374  2
    0.602700     1.082025     1.869843     5.607726  2
    4.055777     5.229951     8.330543     8.629727  2
    0.148765     2.994067     3.705755     2.996225  2
    0.341927     2.769978     2.662050     4.534009  1
    3.279496     2.953949     3.680449     4.100267  2
    2.122330     1.967920     0.324071     1.551019  1
    4.694416     5.142225     7.441397     5.696679  2
    2.903757     5.046472     5.720029     5.444568  2
    0.354346     2.231907     3.688564     4.060114  1
    4.474177     3.092793     5.075006     5.194893  2
    3.862395     3.902396     5.480719     6.532535  2
    4.578594     6.074316     8.251923     9.531014  2
    3.280958     1.407249     4.043662     3.477293  2
    4.461064     5.695108     6.157088     7.662739  2
   -0.850906     1.489428     2.266924     3.266781  1
    1.500417     1.059202     2.273239     2.295083  1
    4.884896     6.284382     5.836051     7.528942  2
    3.854044     4.357347     5.580021     5.600184  2
    3.230540     2.984270     5.042483     5.969624  2
    4.919885     6.471101     8.212727     8.638229  2
    3.948796     3.488819     6.689717     8.424553  2
    3.312042     4.541204     4.372361     6.378894  2
    3.603698     4.473621     5.749596     8.116006  2
    0.030924    -0.708126    -1.803694    -1.780883  1
    2.963510     3.997139     5.276251     5.444183  2
    4.792423     6.211374     6.782350     7.975048  2
    1.883107     3.350094     3.553421     3.255771  1
    1.772350     5.574329     6.048028     8.199710  2
    5.288162     5.858785     5.007045     7.359495  2
    4.436207     6.893119     8.043699     7.704925  2
    0.553898     2.397466     1.645682     1.404038  1
    3.818046     4.591478     5.781692     7.668798  2
    3.271854     3.793613     5.362581     6.200146  2
    0.503059     1.638168     2.660406     3.961434  1
    0.863928     1.141714     1.813471     3.756019  2
    4.492189     7.216562     7.591820     6.906806  2
    1.456078     1.721895     2.356475     4.819947  1
    3.565204     5.136186     6.820993     7.588430  2
    0.503947     2.037786     2.762749     4.197376  1
    1.462645     2.167450     0.891241     1.827855  1
    0.095538     0.591103     1.622925     2.127841  1
    1.983718     1.281634     2.813247     2.215947  1
    3.306255     2.028050     1.628342     1.739096  1
    5.781335     6.788673     9.505434    11.339822  2
   -0.454553    -0.264341     1.031405     3.975245  1
    3.120526     5.045402     5.933502     7.489094  2
    4.274038     4.449389     6.782916     8.292326  2
    3.081226     2.546487     5.076441     4.466976  1
    2.977000     4.367198     5.406815     7.547422  2
    3.001233     3.767105     6.050795     9.162554  2
    3.472166     5.623590     4.920476     6.013604  2
    0.865489     1.542502     3.670281     4.069980  1
    2.200041     3.235622     5.154308     4.899388  2
    1.402304     0.942708     0.165492     0.150138  1
    2.912287     3.481162     6.767933     8.317735  2
    3.364264     5.495971     6.885111     7.391892  2
    2.899286     4.821741     5.552546     7.014390  2
    2.724428     2.481508     2.604351     3.061455  1
    4.191997     4.217903     6.075565     6.924696  2
    3.695198     4.946193     6.097972     7.257486  2
    3.925551     4.979010     5.908490     7.242446  2
    4.700084     5.631098     6.820221     7.871018  2
    3.498819     3.959494     7.189553     8.171580  2
    2.873473     4.166492     5.983966     6.328753  2
    4.734907     5.642158     6.165054     7.014350  2
    1.175492     0.954815     2.822952     3.003800  1
    4.132083     6.560423     6.775901     8.724258  2
    0.402186     2.772973     2.820345     3.027107  1
    0.170320    -0.163927    -0.381730     1.139559  1
    2.602159     3.080760     4.216594     4.327720  2
    3.856665     3.066719     6.022567     5.749566  2
    3.669399     4.946576     5.135699     7.198708  2
    2.800824     5.397367     4.715091     7.567476  2
    0.295497     1.053722     2.187456     3.702549  1
    4.282344     3.875688     5.448520     6.180028  2
    0.612786     1.075021     3.634951     1.151985  1
    6.125498     7.436497     8.695340    10.349844  2
    3.786400     3.861397     4.420770     3.992982  2
    2.695152     3.973554     4.535750     7.057166  2
    3.372909     4.680774     4.445747     7.153905  2
    2.327745     4.304805     6.070929     7.100621  2
    0.200107    -0.236560     0.279951    -2.071154  1
    3.214009     3.649028     6.272809     7.634648  2
    0.198728     1.732912     0.334431     1.514424  1
    3.270359     1.651185     1.956982     3.848661  2
   -1.108156     0.319427     1.154245     2.954503  1
   -0.485111     2.201043     1.779947     3.588534  2
    1.663765     0.456714     3.266402     3.456313  2
    3.902058     4.092841     7.318875     8.454062  2
    4.670224     4.686825     6.182803     7.528660  2
    0.671111     3.368815     2.782434     4.963869  2
    2.896239     4.809485     5.255691     4.464256  2
    2.017110     3.106679     5.328749     5.417705  2
    2.787684     3.397818     4.079875     2.872207  2
    0.807054     2.810376     3.569651     6.417808  2
    0.736999     2.402383     2.253119     4.078569  2
    2.400400     3.479627     6.730102     6.351575  2
    2.703628     3.208233     4.233461     5.043493  2
    2.259042     3.052094     3.079191     3.173153  2
    1.137830     2.089360     3.817599     4.839059  2
    3.341598     4.192049     4.468995     5.438433  2
    3.127355     3.905283     3.829609     6.499553  2
    2.614763     3.324986     4.705379     4.415728  2
    1.496002     3.026314     2.170680     6.817224  2
    0.289421     1.168902     1.466069     2.537858  1
    2.119328     3.157455     5.077149     6.521984  2
    3.100918     5.572879     6.283707    10.096894  2
    3.786032     3.485125     6.494555     6.964267  2
    4.233123     4.957278     6.209663     8.403188  2
    0.478973     0.714272     3.333278     3.227880  1
